"Class Catalogue - Class Search Results"

"Search Type:","Class Search"
"Session:","Academic Year 2021/2022"
"Credit Scheme:","Strathclyde Standard 2003 and after"
"Classification:","Postgraduate"


"CODE","TITLE","CREDITS","LEVEL","UG/PG/CE","SEMESTER","EXCHANGE","ELECTIVE",
"MM952","Data Analytics In R","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"BF808","Dba Research Proposal","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"BF814","Dba Thesis","360","Level 6","Postgraduate","Full Year 2021/2022","N","NE",
"MS948","Decision Analysis With Bayes Nets","5","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"DM751","Design For Industry 4 And Smart Products","10","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"CS981","Design Of Usable Health Systems","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MS943","Deterministic Operational Research Algorithms","5","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"MG972","Developing Skills For Effective Management Consulting","10","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"M9859","Digital Copyright Law And Policy-Making","20","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"MK810","Digital Leadership: Strategy And Management","10","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"MK811","Digital Leadership: Strategy And Management","10","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"AB977","Digital Media","10","Level 5","Postgraduate","Full Year 2021/2022","Y","NE",
"X3860","Digital Media For Learning","20","Level 5","Postgraduate","Full Year 2021/2022","Y","PE",
"EE869","Digital Signal Processing For Ultrasonic Engineering","10","Level 6","Postgraduate","Full Year 2021/2022","N","NE",
"EE969","Digital Signal Processing Principles","20","Level 5","Postgraduate","Full Year 2021/2022","Y","PE",
"MG870","Digital Transformation","10","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"BE921","Disability And Societal Effects","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MS946","Discrete-Event Simulation","5","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"22900","Dissertation","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"99900","Dissertation","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"C8986","Dissertation","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"L2933","Dissertation","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"L2980","Dissertation","40","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"L5959","Dissertation","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"M9841","Dissertation","60","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"M9844","Dissertation","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"P3928","Dissertation","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"V1919","Dissertation","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"X3800","Dissertation","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"X3815","Dissertation","60","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"X7933","Dissertation","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"M9863","Dissertation (Llm)","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"M9812","Dissertation (Msc)","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"X3996","Dissertation 1: Methods & Ethics (Children And Young People'S Literacy)","20","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"X3912","Dissertation 1; Methods & Ethics (Management & Leadership In Education)","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"X3910","Dissertation 1; Methods And Ethics (Early Years Pedagogue)","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"X3905","Dissertation 1; Methods And Ethics (Education Studies)","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"X3911","Dissertation 1; Methods And Ethics (Inclusive Education)","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"X3914","Dissertation 1; Methods And Ethics (Philosophy With Children)","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"X3913","Dissertation 1; Methods And Ethics (School Leadership And Management)","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"X3915","Dissertation 1; Methods And Ethics (Supporting Bilingual Learners)","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"X3916","Dissertation 1; Methods And Ethics (Supporting Teacher Learning)","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"X3995","Dissertation 2: Final Report (Children And Young People'S Literacy...)","40","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"X3919","Dissertation 2; Final Project (Inclusive Education)","40","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"X3921","Dissertation 2; Final Report (Autism)","40","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"X3920","Dissertation 2; Final Report (Early Years Pedagogue)","40","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"X3923","Dissertation 2; Final Report (Education Studies)","40","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"X3925","Dissertation 2; Final Report (Management And Leadership In Education)","40","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"X3924","Dissertation 2; Final Report (Philosophy With Children)","40","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"X3926","Dissertation 2; Final Report (School Leadership And Management)","40","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"X3918","Dissertation 2; Final Report (Supporting Bilingual Learners)","40","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"X3917","Dissertation 2; Final Report (Supporting Teacher Learning)","40","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"C8957","Dissertation Clinical Health Psychology, Msc","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"QQ906","Dissertation In Creative Writing","160","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"QQ907","Dissertation In English","160","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"CL953","Dissertation In Hydrogeology","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"R1902","Dissertation In Modern Languages","160","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"M9848","Dissertation In Professional Legal Practice","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"R5904","Dissertation/Translation Project","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"CW905","Dissertation: The Major Project","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"LL946","Documents, Palaeography And Research Studies 2","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"M9950","Domain Name Regulation","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"EX956","Downstream Processing (Heriot Watt) 10 Credit","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"M9944","E-Commerce","20","Level 5","Postgraduate","Full Year 2021/2022","Y","NE",
"EC954","Economic Appraisal And Modelling","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"X3853","Educational Perspectives And Policies","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"X3998","Educational Perspectives And Policies 2","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"EE980","Embedded System Design","20","Level 5","Postgraduate","Full Year 2021/2022","Y","PE",
"C8983","Empirical Project","60","Level 5","Postgraduate","Full Year 2021/2022","Y","NE",
"ME922","Energy Resources And Policy","10","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"EE811","Energy System Plant And Emerging Technologies","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"X3976","Engaging Different Audiences","20","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"DM733","Engineering Risk Management","10","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"X3985","Enterprise, Commercialism And Intellectual Property","20","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"CL525","Environmental Geochemistry","10","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"CL990","Environmental Geochemistry","10","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"X3975","Establishing And Managing Relationships","20","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"MG920","Exploring The International Business Environment","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"AB957","External Credit: International Workshop","10","Level 5","Postgraduate","Full Year 2021/2022","Y","PE",
"EX924","External Study","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"EX925","External Study","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"EX923","External Study Credits","12","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"LL915","Family History Studies And Overseas Records 1","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"M9849","Field Dissertation","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MG918","Finance And Financial Management","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MG917","Financial And Management Accounting","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MB912","Fintech Busines Start-Up (Entrepreneurship)","40","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MB910","Fintech Consultancy/Implementation Project (Intrapreneurship)","40","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MB903","Fintech Futures","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MS941","Foundations Of Quantitative Business Analysis","5","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"X3952","Frameworks For Understanding Learning","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"BM948","Functions Of The Nervous System","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"P3972","Gender Studies Research Placement","20","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"LL925","Genealogy, Family And Social History 2","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"DM995","Global Research Project","40","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"CD902","Group Project","30","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"Z1978","Hacking For Ministry Of Defence","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"EE974","High Voltage Technology And Electromagnetic Compatability","20","Level 5","Postgraduate","Full Year 2021/2022","Y","PE",
"R4901","Ibml5 Spanish: Intercultural Mediation","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"R4902","Ibml5 Spanish: Research And Productive Skills","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"EE981","Image And Video Processing","20","Level 5","Postgraduate","Full Year 2021/2022","Y","PE",
"MP962","Immunology Project And Thesis","120","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"X3979","Independent Enquiry","10","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"X3927","Independent Study 1","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"X3929","Independent Study 3","40","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"X3953","Independent Study 4","10","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"CL973","Independent Study In Collaboration With Industry","10","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"EF900","Individual Project","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"P3965","Individual Project With Client","20","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"CS977","Industrial Placement","30","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"ME944","Industrial Placement","30","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"X9637","Infant Observations 1","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"X9638","Infant Observations 2","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MS982","Information And Technology Management","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"EE970","Information Transmission And Security","20","Level 5","Postgraduate","Full Year 2021/2022","Y","PE",
"EX955","Innovation Pilots","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"X3862","Instructional Design And Technology","20","Level 5","Postgraduate","Full Year 2021/2022","Y","PE",
"HR953","Integrated Dissertation And Reflective Research Report","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"M9869","Intellectual Property Law (Dl)","20","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"DM996","Intelligent Sensing, Reasoning And Deep Learning","20","Level 5","Postgraduate","Full Year 2021/2022","Y","PE",
"BF806","International Contracting And Contact Management","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"M9907","Internet Governance","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"94928","Introductory Biomechanics","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"CL989","Isotope Hydrology","10","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"L5977","Keeping The Child Central","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MK968","Key Skills","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"M9866","Law Dissertation","40","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MG840","Leadership","7","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"X3826","Leadership For Equity, Inclusion And Social Justice (Distance)","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"X3827","Leadership For Learning (Distance)","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"X3825","Leadership For School Improvement (Distance)","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"X7797","Leading In A Time Of Change","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"MG853","Lean And Green Logistics","10","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"X3969","Learning For Sustainability","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"M9930","Legal Research","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"M9890","Legal Research (Attending)","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"CS978","Legal, Ethical And Professional Issues For The Information Society","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"CS974","Literature And Scholarship","60","Level 6","Postgraduate","Full Year 2021/2022","N","NE",
"94930","Lower Limb Orthotic Biomechanics","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"94929","Lower Limb Prosthetic Biomechanics","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"MG922","Making Strategy","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"HR923","Management Research Report","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MB911","Management Research Thesis","40","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MG986","Managing Inter-Organisational Partnerships And Alliances","10","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"MG914","Managing People In Organisations","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"EE807","Managing Risk And Uncertainty In Grid Operation","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"GB880","Managing Talent And Succession Planning","10","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"MG847","Maritime Regulatory Framework","10","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"MG848","Maritime Safety & Risk","10","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"MG846","Maritime Transport & Economics","10","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"MG915","Marketing Management","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"B1913","Master Of Research (Mres) Physical Activity & Health Dissertation","160","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MG865","Mba Project","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"ME973","Mechanical And Aerospace Engineering Pgdip Dissertation","20","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"P3966","Media And Communication Dissertation","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"LL951","Methods Of Professional Enquiry","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"LL914","Methods Of Professional Enquiry And Project","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MP963","Microbiology Project And Thesis","120","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MM551","Mres Research Project","120","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"CP965","Msc Oil And Gas Project","120","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"EE998","Msc Project","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MG866","Msc Project","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MS947","Multicriteria Decision Analysis And Game Theory","5","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"M9873","Oceans Governance And International Law","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"EE806","Offshore And Pan European Supergrids","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"NM841","Offshore Wind Turbines Dynamics Modelling","20","Level 5","Postgraduate","Full Year 2021/2022","Y","PE",
"NM980","Onboard Energy Management And Marine Environment Protection","10","Level 5","Postgraduate","Full Year 2021/2022","Y","NE",
"MG916","Operations Management","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"CS961","Organisation Of Knowledge","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"MG852","Organisational Buying Behaviour & Structures","10","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"94904","Orthotic Studies","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"DM718","People, Organisation And Technology","10","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"L5955","Personal & Professional Development In Family Therapy & Systemic Pract.","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"B9908","Personal And Professional Development","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"X7966","Personal And Professional Development And Theory","30","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"RD907","Pg Essentials","5","Level 6","Postgraduate","Full Year 2021/2022","N","PE",
"CP973","Pgdip Individual Project","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"DM815","Pgdip Individual Project","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"BE922","Pgdip Prosthetic And Orthotic Dissertation","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MP971","Pharmaceutical Quality & Good Manufacturing Practice (Part 1a)","40","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MP972","Pharmaceutical Quality & Good Manufacturing Practice (Part 2a)","40","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MP974","Pharmaceutical Quality & Good Manufacturing Practice (Part 2b)","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MP975","Pharmaceutical Quality & Good Manufacturing Practice (Project)","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MP966","Pharmacology Project And Thesis","120","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MP973","Pharmacuetical Quality & Good Manufacturing Practice (Part 1b)","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"PH949","Physics Skills","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"ME970","Pilot Studies - Flight Time","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"L2974","Placement Dissertation","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"DM795","Policy Analysis Of Economically Complex Environments","10","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"DM731","Postgraduate Group Project","30","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"DM931","Postgraduate Group Project","40","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"DM801","Postgraduate Group Project (Online)","40","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"DM732","Postgraduate Individual Project","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"DM932","Postgraduate Individual Project","60","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"DM802","Postgraduate Individual Project (Online)","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"PH911","Postgraduate Instructional Training","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"PH910","Postgraduate Skill Training","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"PH912","Postgradute Instructional Training (Mphil)","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"EE975","Power Electronics For Energy And Drive Control","20","Level 5","Postgraduate","Full Year 2021/2022","Y","PE",
"EE803","Power Electronics For Transmission And Distribution Networks","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"EE966","Power Electronics, Machines And Applications","20","Level 5","Postgraduate","Full Year 2021/2022","Y","PE",
"EE967","Power System Design, Operation And Protection","20","Level 5","Postgraduate","Full Year 2021/2022","Y","PE",
"EE976","Power System Economics, Markets And Asset Management","20","Level 5","Postgraduate","Full Year 2021/2022","Y","PE",
"EE988","Power Systems And Wind Integration","20","Level 5","Postgraduate","Full Year 2021/2022","Y","NE",
"FS906","Practical Crime Scene And Court Exercise","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
